year,l_under_0.1,l_0.2-0.4,l_0.5-0.7,l_0.8-1.0,l_1.1-1.5,l_1.6-2.0
2012-12-12,134209.87096842183,811138.0085336786,2139490.237821329,4497172.783865748,3618392.178959157,129367.35608613672
2012-12-13,134209.6418431139,811140.6001645735,2139631.0902316472,4497520.362337974,3618645.9748304295,129356.71567689191
2012-12-14,134209.34804168876,811143.5663157231,2139773.3200839246,4497871.786319092,3618902.8859838876,129346.15133132476
2012-12-15,134208.98956414647,811146.9069871276,2139916.9273781613,4498227.055809104,3619162.9124195324,129335.66304943529
2012-12-16,134208.56641048702,811150.6221787872,2140061.9121143585,4498586.17080801,3619426.054137365,129325.25083122353
2012-12-17,134208.07858071037,811154.7118907016,2140208.2742925147,4498949.131315809,3619692.3111373824,129314.91467668943
2012-12-18,134207.52607481656,811159.1761228709,2140356.0139126303,4499315.937332503,3619961.683419586,129304.65458583302
2012-12-19,134206.90889280557,811164.0148752949,2140505.1309747053,4499686.5888580885,3620234.1709839767,129294.4705586543
2012-12-20,134206.22703467743,811169.2281479738,2140655.6254787403,4500061.085892567,3620509.7738305535,129284.36259515326
2012-12-21,134205.4805004321,811174.8159409077,2140807.4974247348,4500439.42843594,3620788.491959316,129274.33069532992
2012-12-22,134204.66929006958,811180.7782540962,2140960.746812688,4500821.616488204,3621070.325370265,129264.37485918422
2012-12-23,134203.79340358992,811187.1150875397,2141115.3736426015,4501207.650049365,3621355.2740634005,129254.49508671624
2012-12-24,134202.85284099306,811193.826441238,2141271.377914475,4501597.529119417,3621643.338038722,129244.69137792592
2012-12-25,134201.84760227904,811200.9123151914,2141428.759628307,4501991.253698364,3621934.5172962304,129234.96373281331
2012-12-26,134200.77768744784,811208.3727093993,2141587.518784099,4502388.823786203,3622228.8118359237,129225.31215137834
2012-12-27,134199.64309649947,811216.2076238622,2141747.65538185,4502790.239382936,3622526.221657804,129215.73663362107
2012-12-28,134198.4438294339,811224.4170585801,2141909.1694215606,4503195.500488562,3622826.74676187,129206.2371795415
2012-12-29,134197.1798862512,811233.0010135528,2142072.0609032316,4503604.607103081,3623130.3871481237,129196.8137891396
2012-12-30,134195.85126695133,811241.9594887802,2142236.3298268616,4504017.559226494,3623437.142816563,129187.46646241538
2012-12-31,134194.45797153426,811251.2924842627,2142401.976192451,4504434.356858801,3623747.0137671884,129178.19519936887
2013-01-01,134193.0,811261.0,2142569.0,4504855.0,3624060.0,129169.0
2013-01-02,134191.47735234862,811271.0820359922,2142737.401249509,4505279.488650094,3624376.101514998,129159.88086430884
2013-01-03,134189.89002857998,811281.5385922389,2142907.179940976,4505707.82280908,3624695.318312181,129150.83779229534
2013-01-04,134188.23802869424,811292.3696687408,2143078.336074404,4506140.002476959,3625017.6503915517,129141.87078395953
2013-01-05,134186.52135269128,811303.5752654974,2143250.869649791,4506576.027653731,3625343.0977531085,129132.9798393014
2013-01-06,134184.7400005712,811315.155382509,2143424.7806671383,4507015.898339399,3625671.6603968516,129124.164958321
2013-01-07,134182.89397233393,811327.1100197755,2143600.069126444,4507459.614533959,3626003.338322781,129115.42614101824
2013-01-08,134180.98326797946,811339.4391772966,2143776.7350277095,4507907.176237411,3626338.1315308954,129106.76338739315
2013-01-09,134179.00788750785,811352.1428550729,2143954.7783709355,4508358.583449759,3626676.040021198,129098.17669744577
2013-01-10,134176.96783091905,811365.2210531037,2144134.19915612,4508813.836170998,3627017.0637936853,129089.66607117606
2013-01-11,134174.86309821307,811378.6737713896,2144314.997383264,4509272.934401131,3627361.2028483595,129081.23150858404
2013-01-12,134172.6936893899,811392.5010099303,2144497.1730523678,4509735.878140157,3627708.4571852195,129072.87300966968
2013-01-13,134170.45960444963,811406.702768726,2144680.7261634315,4510202.667388078,3628058.8268042672,129064.59057443305
2013-01-14,134168.16084339214,811421.2790477762,2144865.656716454,4510673.302144891,3628412.311705499,129056.38420287406
