year,r_under_0.1,r_0.2-0.4,r_0.5-0.7,r_0.8-1.0,r_1.1-1.5,r_1.6-2.0
2011-07-29,142577.95025979506,823035.102770735,2100179.4085615478,4491287.992148557,3584321.9289187975,123582.76930694346
2011-07-30,142531.87879368194,823064.7359894837,2100389.5507927937,4491693.036118685,3584598.866598602,123553.5418894285
2011-07-31,142485.9152844302,823094.1486222195,2100598.938880397,4492096.175882735,3584874.2841620324,123524.3452169777
2011-08-01,142440.05973203978,823123.3406689423,2100807.572824358,4492497.411440707,3585148.181609088,123495.17928959103
2011-08-02,142394.31213651074,823152.3121296522,2101015.4526246767,4492896.742792599,3585420.5589397694,123466.0441072685
2011-08-03,142348.67249784304,823181.0630043494,2101222.5782813537,4493294.169938413,3585691.4161540754,123436.93967001009
2011-08-04,142303.14081603676,823209.5932930337,2101428.949794388,4493689.69287815,3585960.7532520085,123407.86597781585
2011-08-05,142257.71709109176,823237.9029957049,2101634.567163779,4494083.311611807,3586228.5702335653,123378.82303068567
2011-08-06,142212.4013230082,823265.9921123636,2101839.430389529,4494475.026139386,3586494.8670987487,123349.81082861971
2011-08-07,142167.19351178597,823293.8606430092,2102043.5394716356,4494864.8364608865,3586759.643847557,123320.82937161782
2011-08-08,142122.0936574251,823321.5085876422,2102246.8944101008,4495252.7425763095,3587022.900479991,123291.87865968011
2011-08-09,142077.10175992557,823348.935946262,2102449.495204923,4495638.744485652,3587284.6369960504,123262.9586928065
2011-08-10,142032.2178192874,823376.1427188691,2102651.3418561034,4496022.842188917,3587544.8533957344,123234.06947099704
2011-08-11,141987.44183551066,823403.1289054635,2102852.4343636413,4496405.035686105,3587803.5496790456,123205.21099425173
2011-08-12,141942.77380859517,823429.8945060447,2103052.772727536,4496785.324977213,3588060.72584598,123176.38326257051
2011-08-13,141898.21373854112,823456.4395206132,2103252.3569477894,4497163.710062243,3588316.3818965424,123147.58627595346
2011-08-14,141853.76162534842,823482.7639491688,2103451.1870244,4497540.190941193,3588570.5178307286,123118.82003440056
2011-08-15,141809.41746901703,823508.8677917116,2103649.2629573685,4497914.767614067,3588823.13364854,123090.08453791175
2011-08-16,141765.18126954706,823534.7510482415,2103846.5847466947,4498287.440080861,3589074.2293499773,123061.37978648709
2011-08-17,141721.05302693846,823560.4137187586,2104043.1523923785,4498658.208341577,3589323.804935041,123032.7057801266
2011-08-18,141677.0327411912,823585.8558032629,2104238.96589442,4499027.072396215,3589571.8604037296,123004.06251883022
2011-08-19,141633.1204123053,823611.0773017543,2104434.025252819,4499394.032244774,3589818.395756043,122975.45000259795
2011-08-20,141589.31604028074,823636.0782142326,2104628.3304675757,4499759.087887254,3590063.410991982,122946.86823142982
2011-08-21,141545.61962511754,823660.8585406983,2104821.88153869,4500122.239323656,3590306.906111547,122918.31720532586
2011-08-22,141502.03116681572,823685.418281151,2105014.6784661617,4500483.48655398,3590548.8811147367,122889.79692428601
2011-08-23,141458.55066537528,823709.7574355908,2105206.7212499916,4500842.8295782255,3590789.3360015526,122861.30738831032
2011-08-24,141415.17812079616,823733.8760040179,2105398.009890179,4501200.268396392,3591028.270771994,122832.84859739874
2011-08-25,141371.91353307842,823757.7739864321,2105588.544386724,4501555.80300848,3591265.6854260606,122804.4205515513
2011-08-26,141328.75690222203,823781.4513828333,2105778.3247396266,4501909.43341449,3591501.579963752,122776.02325076799
2011-08-27,141285.70822822698,823804.9081932217,2105967.350948887,4502261.159614421,3591735.9543850687,122747.6566950488
2011-08-28,141242.76751109338,823828.1444175973,2106155.623014505,4502610.981608274,3591968.8086900124,122719.32088439378
2011-08-29,141199.93475082106,823851.16005596,2106343.1409364804,4502958.899396049,3592200.1428785804,122691.01581880287
2011-08-30,141157.20994741013,823873.9551083099,2106529.9047148135,4503304.912977745,3592429.956950774,122662.74149827611
2011-08-31,141114.5931008605,823896.5295746466,2106715.9143495043,4503649.022353362,3592658.2509065922,122634.49792281346
2011-09-01,141072.08421117233,823918.8834549709,2106901.1698405533,4503991.227522901,3592885.024746038,122606.28509241497
2011-09-02,141029.68327834547,823941.016749282,2107085.6711879596,4504331.528486362,3593110.2784691076,122578.1030070806
2011-09-03,140987.39030238,823962.9294575804,2107269.4183917237,4504669.925243745,3593334.0120758037,122549.95166681038
2011-09-04,140945.20528327583,823984.6215798659,2107452.4114518445,4505006.417795047,3593556.2255661236,122521.83107160428
2011-09-05,140903.12822103305,824006.0931161386,2107634.650368324,4505341.006140273,3593776.9189400706,122493.74122146232
2011-09-06,140861.15911565165,824027.3440663985,2107816.1351411613,4505673.6902794195,3593996.0921976427,122465.68211638447
2011-09-07,140819.29796713163,824048.3744306453,2107996.865770356,4506004.470212488,3594213.7453388395,122437.6537563708
2011-09-08,140777.54477547292,824069.1842088795,2108176.842255908,4506333.345939478,3594429.8783636624,122409.65614142125
2011-09-09,140735.89954067557,824089.7734011007,2108356.0645978176,4506660.317460389,3594644.49127211,122381.68927153581
2011-09-10,140694.36226273963,824110.142007309,2108534.532796086,4506985.384775222,3594857.5840641838,122353.75314671453
2011-09-11,140652.932941665,824130.2900275044,2108712.2468507104,4507308.547883977,3595069.1567398827,122325.84776695738
2011-09-12,140611.61157745175,824150.217461687,2108889.2067616936,4507629.806786654,3595279.2092992077,122297.97313226436
2011-09-13,140570.39817009988,824169.9243098568,2109065.412529034,4507949.161483251,3595487.7417421574,122270.1292426355
2011-09-14,140529.29271960937,824189.4105720137,2109240.8641527323,4508266.61197377,3595694.7540687327,122242.31609807075
2011-09-15,140488.29522598017,824208.6762481576,2109415.561632788,4508582.15825821,3595900.2462789332,122214.5336985701
2011-09-16,140447.40568921238,824227.7213382889,2109589.504969201,4508895.800336572,3596104.21837276,122186.78204413364
2011-09-17,140406.62410930594,824246.5458424072,2109762.694161972,4509207.538208856,3596306.6703502117,122159.06113476129
2011-09-18,140365.95048626087,824265.1497605126,2109935.1292111017,4509517.371875062,3596507.602211289,122131.37097045308
2011-09-19,140325.38482007713,824283.5330926052,2110106.810116587,4509825.301335189,3596707.0139559912,122103.711551209
2011-09-20,140284.92711075477,824301.6958386848,2110277.736878432,4510131.326589237,3596904.9055843195,122076.08287702907
2011-09-21,140244.57735829378,824319.6379987518,2110447.909496634,4510435.447637207,3597101.277096274,122048.48494791327
2011-09-22,140204.33556269412,824337.3595728056,2110617.327971193,4510737.664479098,3597296.128491851,122020.91776386157
2011-09-23,140164.20172395583,824354.8605608467,2110785.99230211,4511037.97711491,3597489.459771056,121993.38132487402
2011-09-24,140124.17584207896,824372.140962875,2110953.902489385,4511336.3855446465,3597681.270933886,121965.87563095063
2011-09-25,140084.2579170634,824389.2007788904,2111121.0585330175,4511632.889768302,3597871.5619803416,121938.40068209136
2011-09-26,140044.4479489092,824406.040008893,2111287.4604330077,4511927.489785879,3598060.3329104222,121910.95647829623
2011-09-27,140004.74593761636,824422.6586528827,2111453.1081893556,4512220.185597379,3598247.5837241285,121883.54301956526
2011-09-28,139965.15188318488,824439.0567108595,2111618.0018020608,4512510.9772028,3598433.3144214605,121856.16030589837
2011-09-29,139925.66578561478,824455.2341828234,2111782.1412711237,4512799.864602142,3598617.525002417,121828.80833729565
2011-09-30,139886.287644906,824471.1910687744,2111945.5265965443,4513086.847795405,3598800.2154669994,121801.48711375703
2011-10-01,139847.0174610586,824486.9273687126,2112108.1577783227,4513371.92678259,3598981.3858152074,121774.19663528257
2011-10-02,139807.85523407257,824502.443082638,2112270.034816459,4513655.101563698,3599161.0360470405,121746.93690187225
2011-10-03,139768.80096394793,824517.7382105505,2112431.157710952,4513936.3721387265,3599339.1661624997,121719.70791352607
2011-10-04,139729.85465068457,824532.81275245,2112591.526461804,4514215.738507676,3599515.776161584,121692.509670244
2011-10-05,139691.01629428266,824547.6667083369,2112751.1410690127,4514493.200670548,3599690.866044294,121665.34217202608
2011-10-06,139652.28589474206,824562.3000782107,2112910.00153258,4514768.75862734,3599864.4358106293,121638.20541887228
2011-10-07,139613.66345206287,824576.7128620719,2113068.107852504,4515042.412378056,3600036.48546059,121611.09941078264
2011-10-08,139575.14896624497,824590.9050599199,2113225.4600287857,4515314.161922691,3600207.014994175,121584.02414775711
2011-10-09,139536.74243728849,824604.8766717553,2113382.0580614256,4515584.00726125,3600376.0244113877,121556.97962979575
2011-10-10,139498.44386519332,824618.6276975777,2113537.9019504227,4515851.948393729,3600543.5137122236,121529.96585689847
2011-10-11,139460.25324995955,824632.1581373872,2113692.991695778,4516117.985320129,3600709.4828966865,121502.98282906537
2011-10-12,139422.1705915871,824645.4679911841,2113847.32729749,4516382.118040451,3600873.931964774,121476.03054629639
2011-10-13,139384.19589007605,824658.557258968,2114000.908755561,4516644.346554696,3601036.860916488,121449.10900859153
2011-10-14,139346.32914542634,824671.4259407389,2114153.7360699885,4516904.670862861,3601198.2697518268,121422.21821595084
2011-10-15,139308.570357638,824684.0740364969,2114305.8092407743,4517163.090964948,3601358.158470791,121395.35816837425
2011-10-16,139270.91952671105,824696.5015462423,2114457.128267918,4517419.606860957,3601516.527073381,121368.52886586182
2011-10-17,139233.3766526454,824708.7084699747,2114607.693151418,4517674.218550886,3601673.375559596,121341.7303084135
2011-10-18,139195.94173544116,824720.6948076943,2114757.503891277,4517926.926034737,3601828.7039294364,121314.96249602933
2011-10-19,139158.61477509825,824732.460559401,2114906.5604874934,4518177.729312511,3601982.5121829025,121288.22542870928
2011-10-20,139121.39577161672,824744.0057250948,2115054.862940067,4518426.6283842055,3602134.800319994,121261.5191064534
2011-10-21,139084.28472499654,824755.3303047757,2115202.4112489987,4518673.623249821,3602285.5683407113,121234.84352926165
2011-10-22,139047.2816352377,824766.4342984436,2115349.2054142877,4518918.71390936,3602434.8162450525,121208.19869713398
2011-10-23,139010.38650234026,824777.317706099,2115495.245435935,4519161.9003628185,3602582.5440330207,121181.58461007048
2011-10-24,138973.5993263042,824787.9805277414,2115640.5313139395,4519403.1826102,3602728.751704614,121155.00126807115
2011-10-25,138936.92010712947,824798.4227633709,2115785.0630483017,4519642.560651502,3602873.4392598327,121128.4486711359
2011-10-26,138900.3488448161,824808.6444129874,2115928.8406390212,4519880.034486726,3603016.606698677,121101.92681926482
2011-10-27,138863.88553936407,824818.6454765911,2116071.864086099,4520115.604115871,3603158.2540211463,121075.43571245782
2011-10-28,138827.5301907734,824828.4259541822,2116214.133389534,4520349.269538938,3603298.3812272414,121048.97535071502
2011-10-29,138791.28279904413,824837.9858457602,2116355.6485493267,4520581.030755927,3603436.988316962,121022.54573403632
2011-10-30,138755.14336417618,824847.3251513254,2116496.4095654776,4520810.887766837,3603574.0752903083,120996.14686242175
2011-10-31,138719.11188616965,824856.4438708778,2116636.416437986,4521038.840571669,3603709.6421472793,120969.77873587134
2011-11-01,138683.1883650244,824865.342004417,2116775.6691668513,4521264.889170421,3603843.6888878755,120943.44135438504
